attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
16,rejected,00:59:50.239966,00:59:50.239966,00:59:50.240485,00:59:50.240485,00:59:50.241764,00:59:50.241764,00:59:50.243348,00:59:50.243348,00:59:50.252731,00:59:50.252753,00:59:50.265796,00:59:50.265796,00:59:50.271051,00:59:50.276522,00:59:50.281992,00:59:50.256715,00:59:50.256821,00:59:50.241203
16,rejected,00:59:50.744892,00:59:50.744892,00:59:50.745262,00:59:50.745262,00:59:50.746552,00:59:50.746552,00:59:50.748091,00:59:50.748091,00:59:50.758116,00:59:50.758148,00:59:50.772194,00:59:50.772194,00:59:50.777427,00:59:50.782630,00:59:50.787836,00:59:50.763109,00:59:50.763222,00:59:50.745985
16,rejected,00:59:51.241608,00:59:51.241608,00:59:51.242176,00:59:51.242176,00:59:51.243455,00:59:51.243455,00:59:51.244906,00:59:51.244906,00:59:51.254613,00:59:51.254636,00:59:51.268556,00:59:51.268556,00:59:51.274435,00:59:51.280014,00:59:51.285247,00:59:51.258285,00:59:51.258382,00:59:51.242905
32,rejected,00:59:51.746206,00:59:51.746206,00:59:51.746708,00:59:51.746708,00:59:51.748236,00:59:51.748236,00:59:51.750092,00:59:51.750092,00:59:51.760160,00:59:51.760182,00:59:51.773700,00:59:51.773700,00:59:51.779518,00:59:51.785166,00:59:51.790673,00:59:51.778538,00:59:51.778668,00:59:51.747601
32,rejected,00:59:52.248865,00:59:52.248865,00:59:52.249277,00:59:52.249277,00:59:52.250574,00:59:52.250574,00:59:52.252123,00:59:52.252123,00:59:52.261463,00:59:52.261483,00:59:52.274057,00:59:52.274057,00:59:52.279786,00:59:52.285196,00:59:52.290639,00:59:52.281422,00:59:52.281542,00:59:52.250037
32,rejected,00:59:52.752677,00:59:52.752677,00:59:52.753129,00:59:52.753129,00:59:52.754470,00:59:52.754470,00:59:52.756212,00:59:52.756212,00:59:52.767911,00:59:52.767937,00:59:52.780803,00:59:52.780803,00:59:52.786340,00:59:52.791818,00:59:52.796890,00:59:52.785468,00:59:52.785584,00:59:52.753895
32,rejected,00:59:53.251989,00:59:53.251989,00:59:53.252368,00:59:53.252368,00:59:53.253738,00:59:53.253738,00:59:53.255289,00:59:53.255289,00:59:53.264772,00:59:53.264797,00:59:53.286447,00:59:53.286447,00:59:53.292215,00:59:53.297973,00:59:53.303076,00:59:53.284791,00:59:53.284923,00:59:53.253113
32,rejected,00:59:53.759671,00:59:53.759671,00:59:53.760123,00:59:53.760123,00:59:53.761778,00:59:53.761778,00:59:53.763534,00:59:53.763534,00:59:53.773150,00:59:53.773173,00:59:53.786645,00:59:53.786645,00:59:53.791966,00:59:53.797136,00:59:53.802127,00:59:53.792404,00:59:53.792511,00:59:53.760916
32,rejected,00:59:54.262641,00:59:54.262641,00:59:54.262995,00:59:54.262995,00:59:54.264326,00:59:54.264326,00:59:54.265756,00:59:54.265756,00:59:54.275695,00:59:54.275719,00:59:54.288923,00:59:54.288923,00:59:54.294539,00:59:54.300143,00:59:54.305361,00:59:54.295299,00:59:54.295418,00:59:54.263752
32,rejected,00:59:54.761740,00:59:54.761740,00:59:54.762390,00:59:54.762390,00:59:54.764036,00:59:54.764036,00:59:54.765682,00:59:54.765682,00:59:54.775606,00:59:54.775631,00:59:54.789158,00:59:54.789158,00:59:54.794612,00:59:54.800022,00:59:54.805216,00:59:54.794540,00:59:54.794664,00:59:54.763291
32,rejected,00:59:55.261295,00:59:55.261295,00:59:55.261717,00:59:55.261717,00:59:55.262899,00:59:55.262899,00:59:55.264760,00:59:55.264760,00:59:55.274092,00:59:55.274111,00:59:55.287711,00:59:55.287711,00:59:55.293152,00:59:55.298586,00:59:55.303657,00:59:55.294182,00:59:55.294508,00:59:55.262402
32,rejected,00:59:55.759311,00:59:55.759311,00:59:55.759741,00:59:55.759741,00:59:55.760995,00:59:55.760995,00:59:55.762715,00:59:55.762715,00:59:55.772228,00:59:55.772249,00:59:55.785756,00:59:55.785756,00:59:55.791568,00:59:55.797255,00:59:55.802403,00:59:55.791869,00:59:55.791992,00:59:55.760439
32,rejected,00:59:56.259012,00:59:56.259012,00:59:56.259449,00:59:56.259449,00:59:56.261101,00:59:56.261101,00:59:56.262852,00:59:56.262852,00:59:56.272993,00:59:56.273013,00:59:56.286173,00:59:56.286173,00:59:56.291506,00:59:56.296640,00:59:56.301787,00:59:56.291548,00:59:56.291669,00:59:56.260201
64,rejected,00:59:56.756292,00:59:56.756292,00:59:56.756808,00:59:56.756808,00:59:56.758568,00:59:56.758568,00:59:56.760532,00:59:56.760532,00:59:56.771010,00:59:56.771072,00:59:56.788590,00:59:56.788590,00:59:56.795032,00:59:56.801682,00:59:56.809493,00:59:56.820879,00:59:56.820997,00:59:56.757740
64,rejected,01:00:06.080373,01:00:06.080373,01:00:06.080773,01:00:06.080773,01:00:06.082050,01:00:06.082050,01:00:06.084844,01:00:06.084844,01:00:06.096582,01:00:06.096601,01:00:06.111051,01:00:06.111051,01:00:06.116697,01:00:06.121920,01:00:06.127127,01:00:06.164270,01:00:06.164467,01:00:06.081540
64,rejected,01:00:07.565062,01:00:07.565062,01:00:07.565480,01:00:07.565480,01:00:07.566788,01:00:07.566788,01:00:07.568565,01:00:07.568565,01:00:07.578610,01:00:07.578632,01:00:07.590651,01:00:07.590651,01:00:07.596405,01:00:07.601921,01:00:07.607173,01:00:07.629962,01:00:07.630151,01:00:07.566251
64,rejected,01:00:09.100022,01:00:09.100022,01:00:09.100417,01:00:09.100417,01:00:09.101636,01:00:09.101636,01:00:09.103157,01:00:09.103157,01:00:09.112476,01:00:09.112497,01:00:09.124543,01:00:09.124543,01:00:09.130588,01:00:09.135862,01:00:09.140925,01:00:09.165059,01:00:09.165233,01:00:09.101112
64,rejected,01:00:10.557499,01:00:10.557499,01:00:10.557905,01:00:10.557905,01:00:10.559637,01:00:10.559637,01:00:10.561491,01:00:10.561491,01:00:10.570881,01:00:10.570903,01:00:10.583865,01:00:10.583865,01:00:10.589595,01:00:10.594859,01:00:10.600260,01:00:10.622262,01:00:10.622430,01:00:10.558759
64,rejected,01:00:12.109471,01:00:12.109471,01:00:12.109956,01:00:12.109956,01:00:12.111208,01:00:12.111208,01:00:12.112763,01:00:12.112763,01:00:12.122145,01:00:12.122167,01:00:12.147266,01:00:12.147266,01:00:12.153114,01:00:12.158531,01:00:12.163927,01:00:12.174214,01:00:12.174351,01:00:12.110666
64,rejected,01:00:13.579252,01:00:13.579252,01:00:13.579819,01:00:13.579819,01:00:13.581275,01:00:13.581275,01:00:13.582866,01:00:13.582866,01:00:13.592523,01:00:13.592545,01:00:13.605081,01:00:13.605081,01:00:13.611266,01:00:13.616639,01:00:13.621867,01:00:13.643856,01:00:13.644019,01:00:13.580604
64,rejected,01:00:15.214776,01:00:15.214776,01:00:15.215273,01:00:15.215273,01:00:15.216781,01:00:15.216781,01:00:15.218456,01:00:15.218456,01:00:15.228569,01:00:15.228594,01:00:15.241757,01:00:15.241757,01:00:15.247818,01:00:15.253010,01:00:15.258302,01:00:15.279549,01:00:15.279717,01:00:15.215969
64,rejected,01:00:16.677250,01:00:16.677250,01:00:16.677662,01:00:16.677662,01:00:16.679150,01:00:16.679150,01:00:16.680896,01:00:16.680896,01:00:16.691480,01:00:16.691502,01:00:16.703936,01:00:16.703936,01:00:16.709606,01:00:16.715236,01:00:16.720363,01:00:16.741853,01:00:16.742055,01:00:16.678386
64,rejected,01:00:18.290299,01:00:18.290299,01:00:18.290709,01:00:18.290709,01:00:18.291923,01:00:18.291923,01:00:18.293802,01:00:18.293802,01:00:18.303311,01:00:18.303333,01:00:18.315648,01:00:18.315648,01:00:18.321246,01:00:18.326736,01:00:18.332290,01:00:18.355066,01:00:18.355236,01:00:18.291379
128,rejected,01:00:19.893187,01:00:19.893187,01:00:19.893749,01:00:19.893749,01:00:19.895219,01:00:19.895219,01:00:19.896842,01:00:19.896842,01:00:19.908279,01:00:19.908328,01:00:19.921338,01:00:19.921338,01:00:19.927279,01:00:19.932363,01:00:19.937610,01:00:20.021994,01:00:20.022173,01:00:19.894568
128,rejected,01:00:21.427191,01:00:21.427191,01:00:21.427747,01:00:21.427747,01:00:21.429269,01:00:21.429269,01:00:21.430769,01:00:21.430769,01:00:21.440082,01:00:21.440102,01:00:21.460843,01:00:21.460843,01:00:21.466745,01:00:21.471992,01:00:21.477565,01:00:21.556011,01:00:21.556182,01:00:21.428510
128,rejected,01:00:22.981419,01:00:22.981419,01:00:22.981815,01:00:22.981815,01:00:22.983098,01:00:22.983098,01:00:22.984670,01:00:22.984670,01:00:22.993927,01:00:22.993947,01:00:23.005488,01:00:23.005488,01:00:23.011197,01:00:23.016572,01:00:23.021684,01:00:23.109930,01:00:23.110091,01:00:22.982564
128,rejected,01:00:24.540106,01:00:24.540106,01:00:24.540589,01:00:24.540589,01:00:24.541874,01:00:24.541874,01:00:24.543389,01:00:24.543389,01:00:24.553386,01:00:24.553406,01:00:24.565802,01:00:24.565802,01:00:24.571588,01:00:24.576910,01:00:24.582097,01:00:24.668888,01:00:24.669053,01:00:24.541360
128,rejected,01:00:26.137173,01:00:26.137173,01:00:26.137652,01:00:26.137652,01:00:26.138937,01:00:26.138937,01:00:26.140515,01:00:26.140515,01:00:26.150589,01:00:26.150634,01:00:26.165502,01:00:26.165502,01:00:26.174127,01:00:26.182193,01:00:26.188318,01:00:26.265942,01:00:26.266112,01:00:26.138424
