attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
16,leak,01:10:45.053592,01:10:45.053592,01:10:45.054019,01:10:45.054019,01:10:45.055224,01:10:45.055224,01:10:45.056605,01:10:45.056605,01:10:45.066081,01:10:45.066100,01:10:45.080584,01:10:45.080584,01:10:45.086241,01:10:45.524997,01:10:45.530484,01:10:45.070322,01:10:45.070425,01:10:45.054693
16,leak,01:10:48.692221,01:10:48.692221,01:10:48.692719,01:10:48.692719,01:10:48.693931,01:10:48.693931,01:10:48.695583,01:10:48.695583,01:10:48.705005,01:10:48.705025,01:10:48.719770,01:10:48.719770,01:10:48.725699,01:10:49.164217,01:10:49.169523,01:10:48.709016,01:10:48.709128,01:10:48.693408
16,leak,01:10:52.383887,01:10:52.383887,01:10:52.384656,01:10:52.384656,01:10:52.386319,01:10:52.386319,01:10:52.388327,01:10:52.388327,01:10:52.399509,01:10:52.399564,01:10:52.417102,01:10:52.417102,01:10:52.423512,01:10:52.869152,01:10:52.874738,01:10:52.400286,01:10:52.400430,01:10:52.385617
16,leak,01:10:55.603258,01:10:55.603258,01:10:55.603692,01:10:55.603692,01:10:55.605231,01:10:55.605231,01:10:55.606652,01:10:55.606652,01:10:55.618252,01:10:55.618274,01:10:55.639136,01:10:55.639136,01:10:55.644742,01:10:56.095104,01:10:56.100916,01:10:55.619660,01:10:55.619753,01:10:55.604407
16,safe,01:10:58.849163,01:10:58.849163,01:10:58.849562,01:10:58.849562,01:10:58.851064,01:10:58.851064,01:10:58.852741,01:10:58.852741,01:10:58.861847,01:10:58.861870,01:10:58.876451,01:10:58.876451,01:10:58.882236,01:10:59.331423,01:10:59.337720,01:10:58.865835,01:10:58.865937,01:10:58.850286
16,leak,01:11:03.830520,01:11:03.830520,01:11:03.831001,01:11:03.831001,01:11:03.832271,01:11:03.832271,01:11:03.834165,01:11:03.834165,01:11:03.843436,01:11:03.843455,01:11:03.857659,01:11:03.857659,01:11:03.863512,01:11:04.329216,01:11:04.335725,01:11:03.847123,01:11:03.847217,01:11:03.831730
16,safe,01:11:06.898985,01:11:06.898985,01:11:06.899491,01:11:06.899491,01:11:06.900824,01:11:06.900824,01:11:06.902553,01:11:06.902553,01:11:06.911982,01:11:06.912006,01:11:06.926786,01:11:06.926786,01:11:06.932392,01:11:07.377460,01:11:07.383097,01:11:06.915167,01:11:06.915263,01:11:06.900230
16,safe,01:11:12.036468,01:11:12.036468,01:11:12.036913,01:11:12.036913,01:11:12.038429,01:11:12.038429,01:11:12.040965,01:11:12.040965,01:11:12.050431,01:11:12.050455,01:11:12.064267,01:11:12.064267,01:11:12.069880,01:11:12.522948,01:11:12.532332,01:11:12.068278,01:11:12.068402,01:11:12.037645
16,safe,01:11:17.210440,01:11:17.210440,01:11:17.211025,01:11:17.211025,01:11:17.212780,01:11:17.212780,01:11:17.215545,01:11:17.215545,01:11:17.225204,01:11:17.225249,01:11:17.241971,01:11:17.241971,01:11:17.248933,01:11:17.710911,01:11:17.716797,01:11:17.227851,01:11:17.227976,01:11:17.211951
32,safe,01:11:22.314172,01:11:22.314172,01:11:22.314526,01:11:22.314526,01:11:22.315662,01:11:22.315662,01:11:22.317915,01:11:22.317915,01:11:22.327220,01:11:22.327251,01:11:22.340778,01:11:22.340778,01:11:22.346051,01:11:22.795988,01:11:22.801094,01:11:22.347248,01:11:22.347378,01:11:22.315134
